Old_name,id_1,Name,id_2
Udham Singh Nagar,357,Udham Singh Nagar,357
Udhampur,77,Udhampur,77
UDUPI,436,Udupi,436
Ujjain,10,Ujjain,10
Ukhrul,281,Ukhrul,281
Umaria,33,Umaria,33
Una,51,Una,51
Unnao,616,Unnao,616
Unakoti Tripura,303,Unokoti,303
Upper Siang,231,Upper Siang,231
Upper Subansiri,226,Upper Subansiri,226
Kanker,325,Uttar Bastar Kanker,325
North Dinajpur,385,Uttar Dinajpur,385
UTTARA KANNADA,429,Uttara Kannada,429
Uttarkashi,349,Uttarkashi,349
Vadodara,92,Vadodara,92
Vaishali,176,Vaishali,176
Valsad,115,Valsad,115
Varanasi,604,Varanasi,604
Vellore,629,Vellore,629
Vidisha,50,Vidisha,50
Vikarabad,681,Vikarabad,681
Viluppuram,632,Viluppuram,632
Virudhunagar,546,Virudhunagar,546
Visakapatnam,125,Visakhapatnam,125
Vizianagaram,131,Vizianagaram,131
Wanaparthy,683,Wanaparthy,683
Warangal,676,Warangal (R),676
Warangal (U),677,Warangal (U),677
Wardha,470,Wardha,470
Washim,448,Washim,448
Wayanad,371,Wayanad,371
West,708,West,708
Gyalshing,375,West District,375
West Garo Hills,312,West Garo Hills,312
West Godavari,133,West Godavari,133
West Jaintia Hills,315,West Jaintia Hills,315
West Kameng,236,West Kameng,236
West Khasi Hills,310,West Khasi Hills,310
West Siang,225,West Siang,225
West Tripura,301,West Tripura,301
Wokha,294,Wokha,294
Yadadri Bhongiri,679,Yadadri Bhongiri,679
YADGIR,421,Yadgir,421
Yamunanagar,198,Yamunanagar,198
Yanam,267,Yanam,267
Yavatmal,459,Yavatmal,459
Zunheboto,295,Zunheboto,295
