state_code,dist_code,year,state_name,district_name,judges_count
18,19,2018,Chhattisgarh,Balod,13
18,20,2018,Chhattisgarh,Bemetara,8
18,21,2018,Chhattisgarh,Surajpur,14
18,22,2018,Chhattisgarh,Kondagaon,10
18,23,2018,Chhattisgarh,Balodabazar,19
18,24,2018,Chhattisgarh,Mungeli,10
19,1,2018,Mizoram,Aizawl,15
19,2,2018,Mizoram,Lunglei,4
20,1,2018,Tripura,West Tripura,54
20,2,2018,Tripura,North Tripura,18
20,3,2018,Tripura,SouthTripura,25
20,5,2018,Tripura,Unakoti  Tripura,35
20,6,2018,Tripura,Gomati District,23
20,9,2018,Tripura,Sepahijala Tripura,26
20,10,2018,Tripura,Khowai Tripura,19
21,1,2018,Meghalaya,East Khasi Hills,47
21,2,2018,Meghalaya,West Garo Hills,22
21,3,2018,Meghalaya,West Jaintia Hills,25
22,1,2018,Punjab,Ludhiana,145
22,2,2018,Punjab,Jalandhar,86
22,3,2018,Punjab,Rupnagar,43
22,4,2018,Punjab,Fatehgarh Sahib,30
22,5,2018,Punjab,Patiala,44
22,6,2018,Punjab,Ferozepur,42
22,8,2018,Punjab,Amritsar,90
22,9,2018,Punjab,Faridkot,27
22,10,2018,Punjab,Gurdaspur,44
22,11,2018,Punjab,Kapurthala,32
22,12,2018,Punjab,Moga,36
22,13,2018,Punjab,Mansa,30
22,14,2018,Punjab,Sri Muktsar Sahib,25
22,15,2018,Punjab,SBS Nagar,28
22,16,2018,Punjab,Barnala,24
22,17,2018,Punjab,Bathinda,56
22,18,2018,Punjab,Hoshiarpurr,53
22,19,2018,Punjab,Sangrur,49
22,21,2018,Punjab,Pathankot,20
22,23,2018,Punjab,Tarn Taran,34
22,24,2018,Punjab,Mohali,49
23,1,2018,Madhya Pradesh,Jabalpur,97
23,2,2018,Madhya Pradesh,Narsinghpur,46
23,3,2018,Madhya Pradesh,Hoshangabad,62
23,4,2018,Madhya Pradesh,Harda,23
23,5,2018,Madhya Pradesh,Umaria,19
23,6,2018,Madhya Pradesh,Dindori,17
23,7,2018,Madhya Pradesh,Panna,27
23,8,2018,Madhya Pradesh,Alirajpur,24
23,9,2018,Madhya Pradesh,Jhabua,36
23,10,2018,Madhya Pradesh,Khandwa,38
23,11,2018,Madhya Pradesh,Shahdol,45
23,12,2018,Madhya Pradesh,Sheopur,19
23,13,2018,Madhya Pradesh,Datia,32
23,14,2018,Madhya Pradesh,Rajgarh,46
23,15,2018,Madhya Pradesh,Morena,101
23,16,2018,Madhya Pradesh,Mandleshwar,57
23,17,2018,Madhya Pradesh,Neemuch,39
23,18,2018,Madhya Pradesh,Barwani,39
23,19,2018,Madhya Pradesh,Shajapur,47
23,20,2018,Madhya Pradesh,Chhindwara,64
23,21,2018,Madhya Pradesh,Sidhi,37
23,22,2018,Madhya Pradesh,Anuppur,32
23,23,2018,Madhya Pradesh,Shivpuri,49
23,24,2018,Madhya Pradesh,Raisen,55
23,25,2018,Madhya Pradesh,Sehore,60
23,26,2018,Madhya Pradesh,Balaghat,61
23,27,2018,Madhya Pradesh,Damoh,51
23,28,2018,Madhya Pradesh,Vidisha,63
23,29,2018,Madhya Pradesh,Bhind,61
23,30,2018,Madhya Pradesh,Guna,51
23,31,2018,Madhya Pradesh,Singrauli,38
23,32,2018,Madhya Pradesh,Satna,74
23,33,2018,Madhya Pradesh,Seoni,40
23,34,2018,Madhya Pradesh,Katni,42
23,35,2018,Madhya Pradesh,Mandsaur,48
23,36,2018,Madhya Pradesh,Tikamgarh,46
23,37,2018,Madhya Pradesh,Betul,66
23,38,2018,Madhya Pradesh,Dhar,73
23,39,2018,Madhya Pradesh,Chhatarpur,53
23,40,2018,Madhya Pradesh,Dewas,54
23,41,2018,Madhya Pradesh,Mandla,38
23,42,2018,Madhya Pradesh,Ratlam,64
23,43,2018,Madhya Pradesh,Sagar,88
23,44,2018,Madhya Pradesh,Gwalior,105
23,45,2018,Madhya Pradesh,Ujjain,87
23,46,2018,Madhya Pradesh,Rewa,69
23,47,2018,Madhya Pradesh,Indore,125
23,48,2018,Madhya Pradesh,Ashoknagr,42
23,49,2018,Madhya Pradesh,Burhanpur,23
23,50,2018,Madhya Pradesh,Bhopal,127
24,1,2018,Sikkim,Namchi,18
24,2,2018,Sikkim,Mangan,9
24,3,2018,Sikkim,Gyalshing,17
24,4,2018,Sikkim,Gangtok,26
25,1,2018,Manipur,Imphal East,10
25,2,2018,Manipur,Imphal West,19
25,3,2018,Manipur,Bishnupur,4
25,4,2018,Manipur,Thoubal,10
25,5,2018,Manipur,Senapati,3
25,6,2018,Manipur,Churachandpur,1
25,9,2018,Manipur,Tamenglong,1
26,1,2018,Delhi,North East,20
26,2,2018,Delhi,Shahdara,27
26,3,2018,Delhi,East,43
26,4,2018,Delhi,North,41
26,5,2018,Delhi,North West,49
26,6,2018,Delhi,South West,138
26,7,2018,Delhi,New Delhi,58
26,8,2018,Delhi,Central,89
26,9,2018,Delhi,West,64
26,10,2018,Delhi,South,50
26,11,2018,Delhi,South East,72
27,1,2018,Chandigarh,Chandigarh,65
29,1,2018,Telangana,Adilabad,44
29,2,2018,Telangana,Hyderabad,290
29,3,2018,Telangana,Karimnagar,80
29,4,2018,Telangana,Khammam,64
29,5,2018,Telangana,Mahabubnagar,85
