Name,Unique-ID,cases_per_judge
Bishnupur,282,780.7
Thoubal,284,613.0666666666667
Senapati,701,151.77777777777777
Churachandpur,283,501.3333333333333
Tamenglong,280,376.3333333333333
North East,711,1877.6734693877552
Shahdara,714,2111.3571428571427
East,706,1483.7407407407406
North,710,1706.588888888889
North West,704,1691.3119266055046
South West,707,752.5838150289018
New Delhi,705,1728.0485436893205
Central,713,1629.4702702702702
West,708,1666.5299145299143
South,709,1514.9313725490197
South East,712,1318.3237410071945
Chandigarh,218,1626.7536231884058
Adilabad,664,660.8653846153846
Hydrabad,656,453.84988452655887
Karimnagar,658,683.3967391304348
Khammam,674,820.9310344827586
Mahabubnagar,684,615.4
Medak,660,626.1626016260162
Nalgonda,662,788.9477611940298
Nizamabad,659,625.152
Rangareddy,661,1597.1952662721894
Warangal (R),676,602.0717299578059
North Goa,219,1032.5771812080536
South Goa,220,1045.9083333333333
