Name,Unique-ID,mean_disposition_days
North,710,342.0647577465584
North West,704,347.49226016559646
South West,707,349.01370853623007
New Delhi,705,351.70684399624025
Central,713,407.77459158382857
West,708,429.16565683519866
South,709,337.98283273503887
South East,712,317.90321863113644
Chandigarh,218,429.4461316215365
Adilabad,664,468.1379343536433
Hydrabad,656,520.2215774271797
Karimnagar,658,803.9725498437049
Khammam,674,540.0308325762115
Mahabubnagar,684,633.6237142957442
Medak,660,640.610348305019
Nalgonda,662,700.5355035775556
Nizamabad,659,580.2984503992421
Rangareddy,661,558.2265604811239
Warangal (R),676,657.2174376465572
North Goa,219,319.45357629751754
South Goa,220,209.21469948009425
Diu,87,143.2085452695829
Daman,86,277.8718865924748
Dadra & Nagar Haveli,121,469.8030283252839
